1,beddings,n. 寝具；（建筑）[建] 基床；（家畜）草垫 adj. 适于花坛种植的 vt. 把…栽入苗床（bed的ing形式） vi. 睡（bed的ing形式）
2,although,conj. 尽管；虽然；但是；然而
3,effort,n. 努力；成就
4,preference,n. 偏爱，倾向；优先权
5,beneath,prep. 在…之下 adv. 在下方
6,currency,n. 货币；通货
7,warmth,n. 温暖；热情；激动
8,adapt,v. 使适应；改编
9,rewrite,v. 改写；重写 n. 重写或改写的文稿；改写的作品
10,fourteen,num. 十四；十四个；第十四 n. 十四的记号；十四岁；十四点钟；十五世纪
11,steam,v. 蒸，散发；用蒸汽处理 n. 蒸汽；精力 adj. 蒸汽的
12,piano,n. 钢琴
13,firm,adj. 坚定的；牢固的；严格的；结实的 v. 使坚定；使牢固 adv. 稳固地 n. 公司；商号
14,bake,v. 烤，烘焙 n. 烤；烘烤食品
15,suggest,v. 提议，建议；启发；使人想起；显示；暗示
16,happily,adv. 快乐地；幸福地；幸运地；恰当地
17,changeable,adj. 无常的；可改变的；易变的；不定的
18,happen,v. 发生；碰巧；偶然遇到
19,stream,n. 溪流；流动；潮流；光线 v. 流；涌进；飘扬
20,late,adj. 晚的；迟的；已故的；最近的 adv. 晚；迟；最近；在晚期
21,hey,int. 喂！（引起注意等）；你好！（表示问候） n. 干草（等于hay）
22,charge,n. 费用；电荷；掌管；控告；命令；负载 v. 使充电；使承担；指责；装载；对…索费；向…冲去
23,treat,v. 治疗；对待；探讨；视为 n. 请客；款待
24,simplify,v. 简化；使单纯；使简易
25,statesman,n. 政治家；国务活动家
26,reservation,n. 预约，预订；保留
27,framework,n. 框架，骨架；结构，构架
28,consider,v. 考虑；认为；考虑到；细想
29,gram,n. 克；鹰嘴豆（用作饲料）
30,DVD,abbr. 数字化视频光盘（Digital Video Disk）
31,superior,adj. 上级的；优秀的，出众的；高傲的 n. 上级，长官；优胜者，高手；长者
32,achievement,n. 成就；完成；达到；成绩
33,urgent,adj. 紧急的；急迫的
34,sense,n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
35,foresee,v. 预见；预知
36,try,v. 试图，努力；试验；审判；考验 n. 尝试；努力；试验
37,compass,n. 指南针，罗盘；圆规 v. 包围
38,headteacher,n. 中小学的校长
39,earn,v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎
40,collect,v. 收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特
41,mask,n. 面具；口罩；掩饰 v. 掩饰；戴面具；化装
42,assume,v. 假定；设想；承担；采取
43,player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
44,revision,n. [印刷] 修正；复习；修订本
45,farm,v. 种田，务农；经营农场 n. 农场；农家；畜牧场
46,hive,v. 群居；入蜂房；生活在蜂房中 n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
47,year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
48,continue,v. 继续，延续；仍旧，连续
49,contradict,v. 反驳；否定；与…矛盾；与…抵触
50,usually,adv. 通常，经常
51,persuade,v. 说服，劝说；使某人相信；劝某人做（不做）某事 adj. 空闲的，有闲的
52,mental,adj. 精神的；脑力的；疯的 n. 精神病患者
53,hawk,v. 兜售，沿街叫卖；捕捉；咳出 n. 鹰；鹰派成员；掠夺他人的人
54,clothes,n. 衣服
55,plastic,adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
56,terrible,adj. 可怕的；很糟的；令人讨厌的 adv. 很，非常
57,bedclothes,n. 床上用品；铺盖
58,award,v. 授予；判定 n. 奖品；判决
59,surround,v. 围绕；包围 n. 围绕物 adj. 环绕立体声的
60,humour,n. 幽默（等于humor）；诙谐 v. 迁就；使满足
61,hostess,n. 女主人，女老板；女服务员；舞女；女房东
62,speaker,n. 演讲者；扬声器；说话者；说某种语言的人
63,successful,adj. 成功的；一帆风顺的
64,chance,n. 机会，际遇；运气，侥幸；可能性 v. 偶然发生；冒……的险
65,lid,n. 盖子；眼睑；限制 vt. 给…盖盖子
66,dollar,n. 美元
67,man,n. 人；男人；人类；丈夫；雇工 v. 操纵；给…配置人员；使增强勇气；在…就位
68,ten,num. 十个，十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登
69,pay,v. 支付，付；偿还，补偿；给予 n. 工资，薪水；付款；报答 adj. 收费的；需付费的
70,under,prep. 低于，少于；在之下 adv. 在下面；在下方 adj. 下面的；从属的
71,leading,adj. 领导的；主要的 n. 领导；铅板；行距 v. 领导（lead的ing形式）
72,Asia,n. 亚洲
73,typewriter,n. 打字机
74,even,adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 v. 使平坦；使相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文
75,luggage,n. 行李；皮箱
76,escape,v. 逃避，避开，避免；被忘掉；被忽视 n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
77,powder,n. 粉；粉末；[化工][军] 火药；尘土 v. 使成粉末；撒粉；搽粉于
78,zebra,n. [脊椎] 斑马 adj. 有斑纹的
79,overcoat,n. 大衣，外套
80,popcorn,n. 爆米花，爆玉米花
81,affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
82,steward,n. 管家；乘务员；膳务员；工会管事 vi. 当服务员；当管事 vt. 管理
83,available,adj. 可获得的；可购得的；可找到的；有空的
84,import,n. 进口，进口货；输入；意思，含义；重要性 v. 输入，进口；含…的意思
85,cupboard,n. 碗柜；食橱
86,date,n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）
87,pollution,n. 污染
88,jar,n. 罐；广口瓶；震动；刺耳声 v. 冲突；不一致；震惊；发刺耳声
89,anything,pron. 任何事
90,suspension,n. 悬浮；暂停；停职
91,Italian,adj. 意大利的；意大利文化的；意大利语的 n. 意大利人；意大利语
92,essay,n. 散文；试图；随笔 v. 尝试；对…做试验
93,honest,adj. 诚实的，实在的；可靠的；坦率的
